                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.4254,                0.89824,                0.97175,                0.07681,                0.74866,                 0.1101,                0.07885,                 1.0131,                 222.28,                0.63402,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.4234,                 0.8945,                 0.9681,                0.08952,                0.89279,                0.11934,                0.07878,                0.99088,                 215.94,                0.62532,               0.007624,               0.007624,               0.007624
                    122,                 1.4262,                0.89599,                 0.9742,                0.09136,                0.89258,                0.14379,                0.09808,                 0.9637,                 216.29,                0.61965,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.4325,                0.89434,                0.97683,                0.08701,                 0.7271,                0.14626,                0.11525,                0.99246,                 210.91,                 0.6252,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.4135,                 0.9072,                0.97183,                0.07678,                0.79108,                0.13728,                0.10715,                0.97126,                 219.89,                0.61956,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.4296,                0.89249,                0.97483,                0.09058,                0.84962,                0.16012,                0.11203,                0.97235,                 232.54,                  0.628,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.4256,                0.91142,                0.97439,                0.07723,                0.78313,                0.12842,                0.09614,                0.99507,                 228.74,                 0.6279,               0.007525,               0.007525,               0.007525
                    127,                  1.439,                 0.8947,                0.97306,                0.07649,                0.74015,                0.10522,                0.07665,                 1.0254,                 199.84,                0.63821,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.4142,                0.90054,                0.96817,                0.07835,                0.74542,                0.11178,                0.08184,                0.99944,                 216.99,                 0.6348,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.4242,                0.88628,                0.97027,                0.07732,                0.73503,                0.11559,                0.08132,                0.99136,                 211.14,                0.62287,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.4096,                0.89322,                0.96733,                 0.0772,                0.79953,                0.12261,                0.09414,                0.99868,                 218.26,                0.62754,              0.0074458,              0.0074458,              0.0074458
                    131,                  1.413,                 0.8883,                0.96506,                0.07601,                0.78404,                0.13945,                0.10961,                0.99795,                 219.74,                0.63076,               0.007426,               0.007426,               0.007426
                    132,                 1.4227,                0.89066,                0.97157,                0.07474,                0.80753,                0.12361,                0.09416,                 1.0049,                  217.2,                0.62819,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.4176,                0.88112,                0.96954,                0.07526,                0.76417,                0.11792,                0.08846,                0.98465,                  213.6,                0.62685,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.4077,                0.88989,                0.96983,                0.07464,                0.79145,                0.11157,                  0.078,                0.99561,                 214.79,                0.62791,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.4066,                0.88235,                0.97021,                0.09118,                0.80049,                0.13636,                0.09064,                0.97879,                 209.42,                0.62041,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.4089,                0.88455,                0.96808,                0.07362,                0.75016,                0.14486,                 0.1116,                0.99554,                 231.78,                0.62772,               0.007327,               0.007327,               0.007327
                    137,                 1.4092,                0.87398,                0.96545,                0.08014,                 0.7776,                0.11942,                0.09156,                0.99426,                 219.52,                0.62297,              0.0073072,              0.0073072,              0.0073072
                    138,                  1.393,                0.87935,                0.96394,                0.08824,                0.88022,                0.12757,                0.08736,                 1.0286,                 233.39,                0.63189,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.4065,                0.87857,                0.96686,                 0.0769,                0.79253,                0.10042,                0.07154,                0.98462,                 211.35,                0.62235,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.4019,                0.88438,                0.96402,                0.09006,                0.89055,                0.13263,                0.08616,                   1.01,                 224.09,                0.63189,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.4088,                0.88103,                0.97092,                0.08844,                0.89556,                 0.1232,                0.08237,                0.99607,                 224.42,                0.63336,               0.007228,               0.007228,               0.007228
                    142,                 1.4027,                0.88455,                0.97091,                0.09193,                0.83088,                0.14478,                0.09591,                 1.0105,                 238.74,                0.63685,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.3953,                0.87044,                0.96208,                0.07439,                0.74825,                0.11909,                0.08833,                0.97596,                 218.63,                0.62812,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.3922,                0.87578,                0.96558,                0.07687,                0.75671,                0.11478,                0.08281,                0.97446,                 220.06,                0.62782,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.4023,                 0.8823,                0.96435,                0.07737,                0.76554,                0.11271,                0.08241,                0.98479,                 219.06,                0.62788,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.3919,                0.87379,                0.96665,                 0.0744,                0.81228,                0.10702,                0.07814,                0.98045,                 230.33,                0.63006,               0.007129,               0.007129,               0.007129
                    147,                 1.3923,                0.88401,                0.96333,                0.07765,                0.78975,                0.12825,                0.10351,                0.99189,                 220.75,                0.62551,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.3955,                0.87548,                0.96427,                0.07215,                0.71585,                0.10499,                0.07572,                0.99722,                 216.97,                0.62655,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.3907,                0.87642,                0.96026,                 0.0718,                0.71884,                0.12643,                0.09739,                0.99135,                  226.1,                0.62939,              0.0070696,              0.0070696,              0.0070696
                    150,                 1.3881,                0.87034,                0.96271,                0.09332,                0.85544,                0.14528,                0.09867,                0.98838,                 236.96,                0.63047,              0.0070498,              0.0070498,              0.0070498
                    151,                 1.3879,                0.87849,                0.96279,                 0.0788,                0.72088,                0.12817,                0.09501,                0.96654,                 214.64,                0.62354,                0.00703,                0.00703,                0.00703
