                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.4726,                 0.7653,                 1.0225,                  1.786,                0.96271,                 1.0059,                0.91931,                0.88902,                0.93735,                0.65641,                 1.5618,                0.77981,                 1.0623,                 1.8164,                0.98968,                 1.0435,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.4751,                0.76343,                 1.0209,                 1.7812,                0.95052,                 1.0071,                0.90511,                0.85783,                0.92034,                0.62546,                 1.5888,                0.80029,                 1.0658,                 1.8565,                  1.025,                 1.0552,               0.008218,               0.008218,               0.008218
                     93,                 1.4677,                0.75654,                 1.0168,                 1.7931,                 0.9561,                 1.0036,                0.90055,                0.87811,                0.92692,                0.63681,                 1.5739,                0.78962,                  1.057,                 1.8357,                0.99323,                 1.0453,              0.0081982,              0.0081982,              0.0081982
                     94,                  1.466,                0.76295,                 1.0167,                 1.7873,                0.94482,                 1.0046,                0.90173,                0.89113,                0.92902,                0.65436,                 1.5667,                0.78018,                 1.0589,                 1.8321,                0.95575,                 1.0443,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.4698,                0.76409,                 1.0217,                 1.7831,                0.95636,                 1.0069,                 0.9443,                0.87248,                0.93651,                0.66108,                 1.5604,                0.76599,                 1.0533,                 1.8108,                0.96657,                 1.0366,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.4748,                0.76211,                 1.0203,                 1.7922,                0.94579,                 1.0057,                0.92016,                0.89722,                0.93427,                0.66185,                 1.5756,                0.77948,                 1.0537,                 1.8272,                0.97391,                 1.0416,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.4769,                0.76398,                 1.0274,                 1.7868,                0.95186,                 1.0108,                0.92765,                0.88045,                0.93618,                 0.6634,                 1.5501,                0.77955,                 1.0498,                 1.8147,                0.95476,                 1.0427,               0.008119,               0.008119,               0.008119
                     98,                 1.4772,                0.76098,                  1.016,                 1.7954,                0.95342,                 1.0029,                0.93089,                0.89421,                0.93872,                0.66053,                 1.5605,                0.75988,                 1.0582,                 1.8178,                0.95749,                 1.0432,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.4607,                0.74747,                 1.0168,                 1.7831,                0.92887,                0.99963,                0.92261,                0.89635,                0.93744,                0.66879,                 1.5649,                0.77322,                 1.0562,                  1.825,                0.96835,                 1.0429,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.4671,                0.75307,                 1.0133,                 1.7748,                 0.9363,                 1.0006,                0.92374,                  0.896,                0.94068,                0.65929,                  1.563,                0.75666,                 1.0524,                 1.8337,                0.95644,                 1.0426,              0.0080596,              0.0080596,              0.0080596
